	div	mean.sim.div	Lon	Lat	envir
1021	3.496507561	4.202340994	-46	-17.7	24.25092792
1022	3.555348061	4.037978616	-45	-17.7	28.75302459
1023	3.583518938	4.066547	-44	-17.7	28.10949773
1024	3.610917913	3.957395617	-43	-17.7	30.53917875
1025	3.610917913	3.984630073	-42	-17.7	29.68488604
1026	3.663561646	4.048318404	-41	-17.7	28.68167517
1027	3.663561646	4.099706568	-39.8	-17.9	26.81518812
1028	3.36729583	3.899384537	-65	-18.7	30.04474281
1029	3.433987204	3.657689485	-64	-18.7	33.32405205
1030	3.33220451	2.841617107	-63	-18.7	41.24003713
1031	3.135494216	2.865601703	-62	-18.7	40.4619311
1032	2.995732274	2.938012343	-61	-18.7	38.57747713
1033	3.091042453	3.105278552	-60	-18.7	37.33136726
1034	3.17805383	3.275557076	-59	-18.7	36.03394799
1035	3.218875825	3.368736977	-58	-18.7	35.31181584
1036	3.33220451	3.331018389	-57	-18.7	36.55170639
1037	3.433987204	3.492408418	-56	-18.7	35.35275969
1038	3.465735903	3.772159057	-55	-18.7	32.01954968
1039	3.465735903	3.963108742	-54	-18.7	29.18975906
1040	3.465735903	4.099792998	-53	-18.7	26.55190358
1041	3.433987204	4.116260747	-52	-18.7	26.1101591
